,t,y_sidebyside,ym_sidebyside,u_sidebyside,q_sidebyside,qm_sidebyside,m_sidebyside,Mm_sidebyside,h_sidebyside,hm_sidebyside
0,0.2,358.059292035398,357.7271739848574,8.56636718750002,0.171546851263758,0.17167143858450162,465.742992090774,466.27979598153684,9.94757445364692,9.93603547375228
1,0.4,357.90000000000003,357.7287040806741,8.56636718750002,0.171649389662064,0.17166325367794624,465.742992090774,466.24453003586723,9.92838755074154,9.937000330088546
2,0.6000000000000001,357.885714285714,357.7277659975673,8.56636718750002,0.171588019556406,0.17166643499964532,465.586846590115,466.24613442969826,9.94140065577618,9.936186065998616
3,0.8,358.1824561403499,357.727203098108,8.56636718750002,0.171667002011575,0.17167472931362648,465.586846590115,466.2984528350309,9.96653827930046,9.9358697517541
4,1.0,358.18125000000003,357.72721170812173,8.56636718750002,0.171553170920887,0.17166824408570053,465.586846590115,466.2566399722191,9.95530700754967,9.93674670714547
5,1.2000000000000002,358.006034482758,357.72718932036463,8.56636718750002,0.171654404233173,0.17165309098948592,465.216055417446,466.17064991705894,9.935519927204,9.937834819548986
6,1.4000000000000001,357.9313043478261,357.72717656989397,8.56636718750002,0.171630437736447,0.17165853243794482,465.216055417446,466.1358073081648,9.94348875292806,9.936097701878175
7,1.6,358.236842105263,357.7271758160005,8.56636718750002,0.171689132939711,0.17166955885687726,466.510725058652,466.2414110755171,9.95780819984892,9.936553283596881
8,1.8,357.933928571428,357.72717489978294,8.56636718750002,0.171606989145513,0.17166557641191388,466.510725058652,466.1988742916292,9.95269887540571,9.9380596614053
9,2.0,358.386607142857,357.7271742500981,8.56636718750002,0.171625676529502,0.17165565059313515,465.969965017237,466.1010493367475,9.92534358703559,9.938610926882905
10,2.2,358.09292035398204,357.72717416772645,8.56636718750002,0.171703967802599,0.1716561557386635,465.723542719883,466.1101273286472,9.94419767205897,9.935021016233804
11,2.4000000000000004,357.93448275862,357.7271740775954,8.56636718750002,0.171750201796774,0.17167765453947798,465.628634413326,466.3500314996515,9.95141199394159,9.93657477674076
12,2.6,358.168376068376,357.7271740238423,8.56636718750002,0.171720801643223,0.1716634956848411,465.164083228599,466.1481994204677,9.96497187584515,9.937563560950656
13,2.8000000000000003,357.992105263157,357.72717401076795,8.56636718750002,0.171705573203828,0.17166076932630842,465.164083228599,466.09435876084694,9.94759632534195,9.940449961265633
14,3.0,357.91794871794804,357.72717399838905,8.56636718750002,0.171611196120627,0.1716536072812608,465.374055717125,465.9590616786975,9.93770119161345,9.938812952421724
15,3.2,357.823076923076,357.72717399173416,8.56636718750002,0.171678758950307,0.17166313064204167,465.671516742536,466.06517636939924,9.91635180616734,9.93664419771279
16,3.4000000000000004,357.901724137931,357.7271739889294,8.56636718750002,0.171557853641966,0.1716705161901098,465.671516742536,466.20668270254066,9.92719550534445,9.932995593213683
17,3.6,357.632478632478,357.72717398704884,8.56636718750002,0.171636751997398,0.17168576015964404,465.951237222811,466.4736551520404,9.94162666978383,9.934469790535818
18,3.8000000000000003,358.010526315789,357.7271739860182,8.56636718750002,0.17156248498493,0.17167696134314064,465.951237222811,466.3551312803065,9.96728615617395,9.937004040717003
19,4.0,357.91724137931,357.727173985524,8.56636718750002,0.171637198046465,0.17166790216554695,466.243995084348,466.1818487628041,9.92951768465879,9.941364419742598
20,4.2,358.00000000000006,357.727173985222,8.56636718750002,0.171586418201487,0.17165418917561195,466.243995084348,465.9721882120348,9.93059210300322,9.933808210772687
21,4.4,358.00608695652096,357.72717398505756,8.56636718750002,0.171626952194674,0.17167558400286526,466.284782856489,466.27973509074917,9.90884915117691,9.935576879603943
22,4.6000000000000005,358.141379310344,357.7271739849733,8.56636718750002,0.171561648210711,0.17167465466145257,466.335167751487,466.2902231724722,9.91719666421424,9.931884419426597
23,4.800000000000001,357.845217391304,357.7271739849243,8.56636718750002,0.171603726966453,0.1716879626943845,466.335167751487,466.4842609853398,9.94046251656557,9.933024155983663
24,5.0,358.2,357.7271739848952,8.56636718750002,0.171601069460611,0.17167788633711917,466.50052797979,466.39343265425634,9.91493067540562,9.937684150732832
25,5.2,358.00000000000006,357.72717398488055,8.56636718750002,0.171655529751528,0.1716664380177374,466.575882007877,466.1445858093506,9.90042593369028,9.932345148340218
26,5.4,357.898260869565,357.7271739848712,8.56636718750002,0.171592810083871,0.1716769591361082,466.681744424136,466.45310393372824,9.91899890325069,9.927848454053404
27,5.6000000000000005,357.90000000000003,357.72717398486554,8.56636718750002,0.171673961165374,0.1716717810453245,467.512357228629,466.53225131850945,9.94100705961828,9.931484717797224
28,5.800000000000001,357.97672413793094,357.72717398486236,8.56636718750002,0.171606157557911,0.17167127833760246,467.512357228629,466.4520488503199,9.95262586018664,9.937795386267902
29,6.0,358.00000000000006,357.7271739848604,8.56636718750002,0.171666100588235,0.17166933820431354,467.193477228939,466.18018145864795,9.95554215449074,9.940072923001328
30,6.2,357.8767241379309,357.72717398485923,8.56636718750002,0.17163049263769,0.17166883120708276,467.193477228939,466.0197805765491,9.95204034821671,9.940820067150959
31,6.4,357.89652173913,357.72717398485855,8.56636718750002,0.171687784930079,0.17166650914440404,466.230395293707,466.008708230216,9.95627508929967,9.940361722905772
32,6.6000000000000005,357.6,357.72717398485815,8.56636718750002,0.171691898830523,0.17166735166846864,465.938224369536,466.0566463094636,9.91534657167362,9.94272247048609
33,6.800000000000001,357.927586206896,357.7271739848578,8.56636718750002,0.171717258274431,0.1716693338008515,465.938224369536,466.01728654377973,9.94437306186437,9.929464408442561
